nama,alamat,deskripsi
Mercure Bandung City Centre,"Jalan Lengkong Besar No 8, 40261 Bandung, Indonesia","Mercure Bandung City Center terletak di Bandung, berjarak 700 meter dari Istana Merdeka, dan memiliki kolam renang outdoor, pusat kebugaran, dan bar. Di antara berbagai fasilitas di akomodasi mencakup restoran, resepsionis 24 jam, dan layanan kamar, serta Wi-Fi gratis. Akomodasi ini bebas-rokok dan berjarak 1,5 km dari Braga City Walk. Semua kamar di hotel dilengkapi dengan area tempat duduk. Di Mercure Bandung City Centre, semua kamar mencakup meja, TV layar datar, dan kamar mandi pribadi. Pilihan sarapan prasmanan dan Amerika tersedia setiap pagi di akomodasi. Terminal Bus Stasiun Hall berjarak 2 km dari Pusat Kota Bandung, sedangkan Trans Studio Bandung berjarak 3,8 km dari akomodasi. Bandara terdekat adalah Husein Sastranegara, 7 km dari hotel, dan akomodasi ini menawarkan layanan antar-jemput bandara berbayar."
Swiss-Belresort Dago Heritage,"Jalan Lapangan Golf Dago Atas No. 78, Bandung West Java, Indonesia, 40135 Bandung, Indonesia","Terletak di Bandung, Swiss-Belresort Dago Heritage menyediakan akomodasi khusus dewasa dengan kolam renang luar ruangan dan bar. Akomodasi ini menyediakan restoran, resepsionis 24 jam, layanan kamar, dan Wi-Fi gratis. Hotel ini menyediakan koran dan mesin ATM. Semua kamar memiliki teko. Kamar-kamar di Swiss-Belresort Dago Heritage menyediakan AC dan meja. Akomodasi ini menawarkan sarapan kontinental atau prasmanan. Dago Pakar berjarak 4,2 km dari Swiss-Belresort Dago Heritage, sedangkan Gedung Sate berjarak 7 km. Bandara terdekat adalah Bandara Husein Sastranegara, 11 km dari hotel."
OYO 228 Hotel Lodaya,"Jl. Lodaya No.83, Lkr. Sel., Lengkong, 16151 Bandung, Indonesia","Lodaya Hotel yang terletak di pusat kota Bandung ini menawarkan beragam kamar modern yang dilengkapi dengan Wi-Fi gratis. Hotel ini menyajikan sarapan prasmanan di restoran di-tempat serta menyediakan parkir gratis. Lodaya Hotel berselang 10 menit ke Bandung Supermall dan Taman Hiburan Trans Studio. Bandara Internasional Hussein Sastranegara berselang 30 menit naik taksi. Semua kamar ber-AC serta menampilkan pemandangan kota dan menawarkan layanan kamar. TV satelit layar datar, telepon, lemari pakaian, dan area tempat duduk tercakup di kamar. Kamar mandi pribadinya dilengkapi dengan shower, toilet, perlengkapan mandi gratis, dan handuk. Layanan binatu, menyetrika, dan antar-jemput bandara tersedia dengan biaya tambahan. Lodaya Hotel juga menyediakan penyewaan mobil dan layanan pramutamu. Surat kabar dan penitipan bagasi tersedia di meja depan 24-jam. Masakan lokal Sunda dan Indonesia disajikan di Lodaya Restaurant."
Prama Grand Preanger Bandung,"Jl. Asia Afrika No. 81, Sumurbandung, 40111 Bandung, Indonesia","Prama Grand Preanger Bandung yang elegan ini menampilkan interior modern dan menawarkan beragam kamar - dari mana Anda dapat menikmati pemandangan kota. Hotel ini hanya berselang 10 menit berkendara dari Bandara Internasional Husein Sastranegara, serta memiliki spa dan pusat kebugaran. Trans Studio Bandung (taman hiburan indoor) dan berbagai outlet perbelanjaan, yang mencakup Paris Van Java, dapat dicapai dalam waktu 15 menit berkendara dari Prama Grand Preanger Bandung. Stasiun Kereta Bandung berselang 10 menit berkendara dari hotel. Semua kamar berukuran luas, serta memiliki kamar mandi dalam yang besar, brankas, dan fasilitas membuat teh/kopi. Beberapa kamar dilengkapi dengan area tamu terpisah dan ruang makan pribadi. Preanger Restaurant menyajikan makanan barat dan Asia yang lezat. Restoran ini juga menawarkan sarapan prasmanan ala Amerika setiap harinya. Preanger Lounge & Wine Corner menyediakan area yang nyaman untuk bersantai. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
P Hostel,"Jalan Peta No.21, 40243 Bandung, Indonesia","Terletak di Bandung, berjarak 4,2 km dari Terminal Bus Stasiun Hall, P Hostel memiliki taman, kamar bebas rokok, dan Wi-Fi gratis. Akomodasi berjarak sekitar 5 km dari Istana Merdeka dan Braga City Walk, serta 6 km dari Trans Studio Bandung. Akomodasi ini menawarkan resepsionis 24 jam dan ruang penyimpanan bagasi untuk Anda. Di hostel, semua kamar dilengkapi dengan meja, TV layar datar, dan kamar mandi pribadi. Pilihan sarapan kontinental dan prasmanan tersedia setiap pagi di P Hostel. Jalan Riau berjarak 7 km, sedangkan Mal Perbelanjaan Cihampelas Walk berjarak 8 km dari akomodasi. Bandara terdekat adalah Bandara Husein Sastranegara, 9 km dari P Hostel."
The Trans Luxury Hotel Bandung,"Jalan Gatot Subroto 289, 40273 Bandung, Indonesia","Terletak di Kompleks Trans Studio Bandung yang terintegrasi, The Trans Luxury Hotel Bandung menawarkan kamar-kamar modern dengan iPod dock. Hotel ini memiliki kolam renang luar ruangan, pusat spa, dan pusat kebugaran 24 jam. Wi-Fi tersedia gratis di seluruh area hotel. Trans Luxury Hotel dapat dicapai dalam 30 menit berkendara dari Bandara Internasional Husein Sastranegara. Gunung Berapi Tangkuban Perahu dapat dicapai dengan berkendara selama 1 jam. Setiap kamar memiliki TV satelit layar datar dan fasilitas membuat teh/kopi. Perlengkapan mandi gratis dan pengering rambut juga disediakan. Tersedia area tempat duduk yang luas dengan sofa. Anda dapat berolahraga di pusat kebugaran atau menikmati layanan pijat untuk melepas lelah. Hotel ini memiliki meja pramutamu untuk membantu segala permintaan Anda. Layanan laundry dan menyetrika juga tersedia. Layanan antar-jemput bandara dapat diatur dengan biaya tambahan. Aneka hidangan khas Asia dan Barat disajikan di restoran hotel. Hotel ini juga memiliki restoran yang menyuguhkan aneka hidangan internasional."
Grand Tjokro Bandung,"Jalan Cihampelas no 211-217, 40131 Bandung, Indonesia","Grand Tjokro Hotel terletak di jalan perbelanjaan yang terkenal di Bandung. Hotel ini menawarkan akomodasi modern dengan akses WiFi gratis di seluruh areanya, kolam renang di puncak gedung, serta sebuah restoran dan bar. Hotel ini berjarak 10 menit berkendara dari Cihampelas Walk Shopping Mall, dan sekitar 15 menit berkendara dari factory outlet Rumah Mode yang trendi dan terkenal. Bandung Indah Plaza Mall dapat dicapai dalam 20 menit berkendara, sementara untuk menjangkau Bandara Internasional Husein Sastranegara Bandung memerlukan waktu sekitar 30 menit dengan naik mobil. Kamar-kamar ber-AC dengan desain modern dan bersih di Grand Tjokro Hotel dapat diakses melalui lift. Semua menyediakan TV kabel layar datar, area tempat duduk, lemari pakaian, dan minibar. Setiap kamar juga memiliki kamar mandi dalam yang dilengkapi dengan fasilitas shower air panas dan dingin, pengering rambut, serta sandal. Hotel ini menawarkan meja depan 24 jam dengan layanan pramutamu dan penitipan bagasi. Fasilitas lain seperti parkir valet, layanan antar-jemput bandara dan daerah sekitarnya, binatu, dry cleaning, ruang rapat/fasilitas perjamuan, dan pusat bisnis tersedia dengan biaya tambahan. Tjokro Restaurant yang berada di hotel ini menawarkan berbagai hidangan Indonesia, Cina, dan Barat. Anda juga dapat menjelajahi daerah sekitarnya di mana Glosis Restaurant dapat ditemukan hanya dalam 15 menit berkendara."
Grand Mercure Bandung Setiabudi,"Jl. Dr. Setiabudi no. 269 - 275, 40154 Bandung, Indonesia","Dapat dicapai dalam 10 menit dengan berkendara dari Rumah Mode factory outlet yang terkenal, Grand Mercure Bandung Setiabudi menawarkan akomodasi modern dan elegan dengan kolam renang luar ruangan, akses Wi-Fi gratis di semua area, dan tempat parkir gratis. Cihampelas Walk dan Mal Paris Van Java dapat dicapai dalam 15 menit dengan berkendara dari hotel, sedangkan Gedung Sate yang terkenal dalam 20 menit. Bandara Internasional Husein Sastranegara dapat dicapai dalam 30 menit menggunakan mobil. Semua kamar di Grand Mercure Bandung Setiabudi memiliki AC. Setiap kamar menawarkan area tempat duduk, lemari pakaian, TV satelit layar datar, kulkas dengan minibar, dan teko listrik. Tersedia juga kamar mandi en suite dengan fasilitas shower, pengering rambut, dan perlengkapan mandi gratis. Hotel menawarkan layanan resepsionis 24 jam dengan layanan pramutamu di mana staf yang ramah dapat membantu Anda dengan layanan penyewaan mobil dan sepeda, antar-jemput bandara, permintaan binatu dan dry cleaning, penjagaan anak, serta penukaran mata uang. Fasilitas lain yang tersedia adalah teras berjemur, klub anak dengan area video game, dan layanan penitipan bagasi. Anda dapat menikmati akses gratis ke pusat kebugaran atau bersantai di teras berjemur di tepi kolam renang. Untuk pilihan tempat bersantap, hotel ini menyediakan 4 restoran dan bar. Hardy's Dining Room menyajikan hidangan internasional, Jing Paradise Restaurant menawarkan berbagai masakan Tiongkok, So'ren Lobby Bar menghidangkan berbagai makanan ringan serta minuman, dan Pool Bar juga menyajikan makanan ringan dengan minuman yang menyegarkan. "
Aston Tropicana Hotel Bandung,"Jl. Cihampelas 125-127, Sukajadi, 40131 Bandung, Indonesia","Aston Tropicana Hotel terletak di Jalan Cihampelas di pusat kota Bandung, dan menawarkan akses mudah menuju berbagai kawasan perbelanjaan. Hotel ini memiliki kolam renang outdoor, spa, dan pusat kebugaran. Kamar-kamar ber-AC di Aston Tropicana memiliki lantai berkarpet dan ruang duduk kecil. Masing-masing kamar dilengkapi dengan TV satelit, brankas, dan fasilitas membuat teh/kopi. Kamar mandi pribadinya menyediakan bathtub dan shower. Tropicana Karaoke adalah tempat yang tepat untuk menghabiskan sore bersama teman-teman. Hotel ini menawarkan fasilitas meja depan 24 jam dan pusat bisnis yang nyaman. Hotel juga menyediakan Wi-Fi gratis di semua kamar, dan tempat parkir gratis di areanya. Sarapan prasmanan disajikan setiap hari. Anda dapat menikmati makanan di Lemongrass Restaurant, sedangkan aneka minuman ditawarkan di Coconut Lounge. Layanan kamar tersedia 24 jam. Aston Tropicana Hotel Bandung berjarak sekitar 3 km dari Bandara Internasional Husein Sastranegara. Layanan jemputan bandara bisa disediakan. "
De Paviljoen Bandung by HIM,"Jl. R.E. Martadinata No.68, Bandung Wetan, 40115 Bandung, Indonesia","De Paviljoen menyediakan akomodasi modern di kota Bandung, Jawa Barat. Hotel ini menawarkan kolam renang luar ruangan yang dibuka sepanjang tahun, pusat spa, dan restoran yang menyajikan berbagai hidangan lokal dan internasional yang lezat. Masing-masing kamar mewahnya menyediakan tempat tidur yang nyaman dengan seprai yang bersih. Semua kamar dilengkapi dengan pendingin ruangan dan televisi layar datar. Kamar mandi pribadinya dilengkapi dengan shower. Sandal tersedia untuk Anda. Terdapat juga ketel listrik untuk menambah kenyamanan Anda. Anda dapat menghubungi staf De Paviljoen yang ramah di resepsionis 24 jam. Akomodasi ini juga menyediakan layanan penyewaan mobil. Gedung Sate berjarak 500 meter dari De Paviljoen, dan Jalan Riau terletak sejauh 600 meter. Bandara terdekatnya adalah Bandara Husein Sastranegara yang berjarak 5 km dari akomodasi. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju. "
Sensa Hotel Bandung,"Jl. Cihampelas No. 160, 40131 Bandung, Indonesia","Hotel Sensa terletak di Bandung dan terhubung langsung dengan Cihampelas Walk. Akomodasi ini memiliki spa, kolam renang outdoor, dan kamar-kamar trendi yang menyuguhkan pemandangan kota atau pegunungan. Wi-Fi dan tempat parkir tersedia secara gratis. Hotel Sensa hanya berjarak 100 meter dari Jalan Cihampelas yang marak, serta berselang 10 menit berkendara dari Stasiun Kereta Api Bandung. Bandara Husein Sastranegara dapat dicapai dalam waktu sekitar 15 menit berkendara. Semua kamar ber-AC di hotel ini memiliki jendela besar dan TV layar datar 37 inci. Setiap kamar dilengkapi dengan minibar dan brankas pribadi. Kamar mandi pribadinya menampilkan fasilitas shower. Anda dapat menikmati pijat santai dan perawatan pijat refleksi kaki di spa. Sensa juga menawarkan layanan penyewaan mobil berdasarkan permintaan. Life Green Dining Restaurant menghidangkan beragam masakan internasional. Aneka makanan ringan dan minuman yang menyegarkan disajikan di Lobby Lounge. "
Ibis Bandung Trans Studio,"Jl. Gatot Subroto No. 289, 40273 Bandung, Indonesia","Terletak di Kompleks Trans Studio Bandung, Ibis Bandung Trans Studio menyediakan parkir gratis dan meja depan 24 jam. Hotel ini menawarkan sebuah restoran dan layanan kamar 24 jam. Tersedia ruang rapat. Wi-Fi gratis tersedia di seluruh areanya. Hanya 10 menit berkendara dari pusat kota Bandung, Ibis Bandung Trans Studio berjarak 200 meter dari Trans Studio Mall and Theme Park. Bandara Husein Sastranegara dapat dicapai dalam 30 menit berkendara. Kamar-kamarnya yang modern dilengkapi dengan TV kabel layar datar, fasilitas membuat teh/kopi, dan brankas pribadi. Brankas laptop juga disediakan. Kamar mandi en suitenya dilengkapi dengan pengering rambut. Sudut internet disediakan di lobi. Layanan faks, fotokopi, dan binatu ditawarkan berdasarkan permintaan. Untuk keamanan tambahan, Anda dapat meninggalkan barang-barang berharga Anda dalam brankas yang tersedia di meja depan. Pilihan hidangan Indonesia dan internasional disajikan di restoran hotel."
Aston Pasteur,"Jl. Dr. Djunjunan 162, Sukajadi, 40162 Bandung, Indonesia","Memiliki sebuah kolam renang outdoor dan restoran, Aston Pasteur menawarkan akomodasi di Bandung. Wi-Fi dapat diakses secara gratis di seluruh area hotel, dan layanan antar-jemput gratis ke bandara juga tersedia. Semua kamar di Aston Pasteur memiliki AC, brankas, dan minibar. Setiap kamar dilengkapi dengan TV kabel layar datar. Kamar mandi pribadinya menyediakan shower dan pengering rambut. Fasilitas tambahannya meliputi sandal dan perlengkapan mandi gratis. Terdapat meja depan 24 jam dan layanan pramutamu di akomodasi. Staf dapat membantu Anda dengan penitipan bagasi, serta layanan binatu dan dry cleaning dengan biaya tambahan. Cihampelas Walk berjarak 2,2 km dari Aston Pasteur, sementara Terminal Bus Stasiun Hall terletak sejauh 3,3 km dari properti. Bandara terdekat adalah Bandara Husein Sastranegara yang berjarak 1 km dari Aston Pasteur. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
The Luxton Bandung,"Jl. Ir H Juanda No. 18, Bandung Wetan, 40115 Bandung, Indonesia","The Luxton Hotel berselang 5 menit berkendara dari Bandung Indah Plaza Shopping Mall, menawarkan kamar-kamar modern dengan akses Wi-Fi gratis dan meja depan 24-jam. Hotel ini menyediakan tempat parkir gratis. Kamar-kamar ber-AC-nya menampilkan lantai kayu dan lantai parket, dilengkapi lemari pakaian, area untuk duduk bersantai, dan TV kabel layar datar. Kamar mandi dalamnya menyediakan shower dan perlengkapan mandi gratis. Anda dapat menikmati beragam hidangan khas Barat dan sarapan pagi lengkap di Xquisite Restaurant, sedangkan X Lounge Bar menyajikan berbagai makanan ringan. Hotel ini berjarak 15 menit berkendara dari stasiun kereta api Bandung dan 40 menit berkendara dari daerah Lembang. Bandara Husein Sastranegara berjarak 4 km dari hotel. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju. "
Holiday Inn Bandung Pasteur,"Jl. Dr Djunjunan 96, Sukajadi, 40162 Bandung, Indonesia","Holiday Inn Bandung Pasteur di pusat kota tepatnya 2 km dari Paris van Java Mall menawarkan hotel dengan kolam renang luar ruangan, kolam renang anak-anak, pusat kebugaran, Wi-Fi gratis di kamarnya, serta parkir gratis untuk Anda yang berkendara. Kamar-kamarnya yang modern dilengkapi dengan AC, TV layar datar, minibar, pembuat teh/kopi, serta kamar mandi pribadi dengan pancuran dan perlengkapan mandi gratis. Kamar-kamar tertentu memiliki akses ke kolam renang dalam ruangan. Anda dapat menikmati makan di restoran hotel atau menikmati makanan ringan di kedai kopi. Banyak pilihan makan yang dapat dicapai dalam 5 menit berjalan kaki. Fasilitas lainnya adalah perawatan spa, kelas yoga di pusat kebugaran, sauna, karaoke, resepsionis 24 jam, penyewaan mobil, serta antar-jemput bandara dengan biaya tambahan. Hotel ini berjarak 2,3 km dari Stasiun Kereta Api Bandung, 3,1 km dari Braga City Walk, 6 km dari 23 Paskal Shopping Mall, serta 20 menit berkendara dari Bandara Husein Sastranegara. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Hotel Savoy Homann,"Jalan Asia Afrika 112, Sumurbandung, 40261 Bandung, Indonesia","Bertempat di dalam sebuah bangunan berbentuk melengkung yang ikonis, Hotel Savoy Homann menawarkan kamar-kamar yang elegan di pusat kota Bandung. Wi-Fi gratis dapat diakses di area umum akomodasi. Menawarkan kenyamanan bintang 4, kamar-kamarnya memiliki AC, lantai berkarpet, area tempat duduk, dan furnitur kayu klasik. Tersedia juga TV kabel dan fasilitas membuat teh/kopi gratis. Anda tetap dapat berolahraga secara teratur di pusat kebugaran Hotel Savoy Homann. Video games dan permainan tradisional juga ditawarkan di ruang permainan. Para staf siap sedia sepanjang hari untuk melayani permintaan Anda dan kebutuhan laundry. Garden Restaurant menyajikan berbagai masakan lokal, Asia, dan Barat. Spesialisasi steak dihidangkan di Sidewalk Cafe, sedangkan Batavia Bar menyuguhkan koktail yang menyegarkan. Mudah diakses dari Museum Asia Afrika, Hotel Savoy Homann Hotel dapat dicapai dalam 30 menit berkendara dari Bandara Husein Sastranegara. Hotel ini dapat dicapai dalam 2 jam naik kereta dari Jakarta. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
"The Jayakarta Suites Bandung, Hotel & Spa","Jl. Ir. H. Juanda No. 381A, 40135 Bandung, Indonesia","The Jayakarta Suites Bandung, Hotel & Spa terletak di puncak bukit dengan pemandangan kota Bandung dan pegunungan sekitarnya yang indah. Hotel bintang 4 ini hanya berselang 30 menit berkendara dari bandara. Kamar-kamar di The Jayakarta Suites Bandung, Hotel & Spa memiliki fasilitas modern termasuk kunci elektronik, akses internet WIFI gratis, dan TV kabel. Kamar mandi dalamnya dilengkapi dengan kombinasi bathtub atau shower. Anda dapat berenang di kolam renang outdoor yang besar atau menikmati pijat relaksasi di Spa dan Pusat Kesehatan berfasilitas lengkap di Jayakarta. Tersedia tempat parkir gratis di hotel dengan pemesanan sebelumnya. The Jayakarta Suites Bandung, Hotel & Spa menawarkan hidangan mewah di restoran hotel. Anda dapat menikmati minuman di North Dago Cafe atau Scenery Bar & Lounge. Anda juga dapat tampil di panggung Aoyama Karaoke Bar.  The Jayakarta Suites Bandung Hotel & Spa berselang 20 menit dari stasiun kereta dan 15 menit dari pusat kota Bandung yang terkenal dengan berbagai factory outletnya."
Arion Swiss-Belhotel Bandung,"Jl. Otto Iskandardinata No.16, 40171 Bandung, Indonesia","Arion Swiss-Belhotel Bandung menawarkan akomodasi butik di jantung kota Bandung, hanya 350 meter dari Stasiun Kereta Api Bandung. Hotel ini menawarkan kolam renang outdoor yang sangat besar, pusat kebugaran, dan tempat parkir gratis. Hotel berjarak 15 menit berkendara dari Gerbang Tol Pasteur dan Bandara Internasional Husein Sastranegara. Kamar-kamar ber-AC hotel ini memiliki interior yang luas dengan perabotan modern. Masing-masing dilengkapi dengan minibar, fasilitas membuat teh/kopi, dan TV kabel layar datar. Internet gratis tersedia di semua kamar. Anda dapat menikmati layanan pijat relaksasi atau bersantai di ruang sauna. Arion Swiss-Belhotel Bandung juga menawarkan layanan binatu dan dry cleaning. Fasilitas penitipan bagasi dapat ditemukan di meja depan 24 jam. Ruang serbaguna dengan peralatan lengkap tersedia untuk penyelenggaraan berbagai acara, rapat, dan pertemuan. Swiss-Cafe menyajikan beragam hidangan otentik khas Indonesia dan internasional. Anda dapat menikmati berbagai koktail dan makanan ringan di Lounge Bar. Hotel berjarak 3 km dari Museum Geologi Bandung dan Monumen Perjuangan. Berbagai outlet mode yang terkenal serta beragam tempat makan dapat ditemukan di Jalan Riau yang terletak sejauh 10 menit berkendara dari hotel. Jakarta dapat dicapai dalam 2 jam berkendara."
MOXY Bandung,"Jalan Ir H. Djuanda No 69, Bandung Wetan, 40116 Bandung, Indonesia","MOXY Bandung menampilkan pemandangan kota dan terletak di Bandung, 2,1 km dari Jalan Riau. Hotel bintang 3 ini memiliki bar dan menawarkan kamar-kamar ber-AC dengan Wi-Fi gratis serta kamar mandi pribadi. Akomodasi ini memiliki restoran dan berjarak kurang dari 1 km dari Gedung Sate. Kamar-kamar di hotel ini dilengkapi dengan meja. Semua kamar memiliki area tempat duduk dan TV satelit layar datar. Akomodasi ini menyediakan sarapan kontinental atau prasmanan. Anda dapat bermain biliar di hotel ini. Terdapat layanan resepsionis 24 jam, pusat bisnis, dan layanan menyetrika. MOXY Bandung berjarak 2,4 km dari Braga City Walk dan 2,9 km dari Cihampelas Walk. Bandara terdekat adalah Bandara Husein Sastranegara, 5 km dari hotel ini. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Ibis Styles Bandung Braga,"Jalan Braga No. 8, Sumurbandung, 40111 Bandung, Indonesia","Ibis Styles Bandung Braga terletak di Jalan Braga yang terkenal, di seberang Museum Kofperensi Asia Afrika dan tepat di samping Jalan Asia-Afrika yang bersejarah. Properti ini menawarkan akomodasi modern yang nyaman dengan akses Wi-Fi gratis dan restoran di lokasi. Setiap kamar dilengkapi AC, TV, dan minibar. Tersedia juga ruang makan dengan lemari es dan ketel listrik. Kamar mandi pribadinya menawarkan shower, pengering rambut, dan perlengkapan mandi gratis. Fasilitas tambahan meliputi area tempat duduk dan saluran kabel. Di Ibis Styles Bandung Braga Anda akan menemukan meja depan 24-jam, 6 ruang pertemuan dan taman. Properti ini juga menawarkan tempat parkir gratis. Hotel ini berjarak 400 meter dari Braga City Walk dan 800 meter dari Pasar Baru Bandung. Bandara Husein Sastranegara berjarak 5 km. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
Favehotel Premier Cihampelas,"Jl. Cihampelas 129, Sukajadi, 40131 Bandung, Indonesia","Favehotel Premier dapat dicapai dengan berjalan kaki 15 menit dari Jalan Cihampelas di Bandung, yang memiliki beragam pilihan berbelanja dan hiburan. Selain menawarkan kamar-kamar dengan akses Wi-Fi gratis, hotel ini memiliki sebuah kolam renang outdoor dan gym. Favehotel Premier Cihampelas dapat ditempuh dalam waktu 30 menit berkendara dari Bandara Internasional Husein Sastranegara. Dibutuhkan waktu 40 menit berkendara menuju taman hiburan indoor Trans Studio. Kamar-kamar kontemporer ber-AC-nya memiliki TV satelit layar datar serta kamar mandi pribadi dengan fasilitas air panas dan dingin. Restoran menyajikan berbagai macam hidangan internasional, dengan pilihan bersantap dalam kamar. Anda dapat menggunakan pusat bisnis, atau mengunjungi meja depan 24 jam untuk bantuan dengan layanan penukaran mata uang, binatu, atau pramutamu. Tersedia parkir pribadi gratis."
